Name;Größe;Vorname;Nachname;Downloads;Datum;Pfad
cars.csv;4237;Axel;Schaffland;5;"17.05.2021 22:08";"Sheet 05/cars.csv"
sheet05.ipynb;31342;Axel;Schaffland;7;"17.05.2021 22:08";"Sheet 05/sheet05.ipynb"
