Name;Größe;Vorname;Nachname;Downloads;Datum;Pfad
NotesSession09.pdf;602647;Axel;Schaffland;13;"08.06.2021 15:59";NotesSession09.pdf
Session09.ipynb;113881;Axel;Schaffland;8;"08.06.2021 15:59";Session09.ipynb
